id,nome,cbf
605,Anderson Ferreira da Silva,6
606,Vinicius Diniz Dall Antonia,8
607,Carlos Gilberto do Nascimento Silva,4
608,Romulo Otero Vasquez,22
609,TGDouglas Luisi Dutra -,
610,Giovanni Augusto Oliveira Cardoso,10
611,Diego Fabian Torres,8
612,Marcos Venicius Santos Miranda,12
613,João Pedro Galvão de Carvalho,57
614,Diogo da Costa Silva,4
615,Joao Paulo Silveira dos Santos,4
616,Giovanni Augusto Oliveira Cardoso -,10
617,Roberto Jose Rosales Altuve,28
618,Antonio Francisco Moura Neto,25
619,Fabricio Dominguez Huertas,8
620,Jose Roberto Assunçao de Araujo Filho,99
621,PFRafael Antunes Tamarindo,
622,Antonio Francisco Moura Neto,25
623,Joao Vitor de Souza Martins,15
624,Henrique Almeida Caixeta Nascentes,19
625,Bruno Matias dos Santos,20
626,João Victor Carroll Santana,34
627,TGIvan Lucas Baitello,
628,Cristiano Claudinei Nogueira,5
629,Diego de Souza Quirino,9
630,Marcelo Cordeiro de Souza,TC
631,Vinicius Kaue Ribeiro Ferreira,27
632,Anderson Leite Morais,5
633,Miqueias Cabral Evaristo,8
634,Salatiel de Oliveira Gabriel Junior,19
635,Kayque Luiz Pereira,6
636,Guilherme de Aguiar Camacho,14
637,Emerson Gustavo Pinto dos Santos,8
638,Elvis Vieira Araujo,10
639,Emerson Ramon Bezerra Oliveira,7
640,Wallison Nunes Silva,2
641,Lucas Vinicius Dias Costa,3
642,Igor Inocencio de Oliveira,2
643,Leandro Marcos Peruchena Pereira,19
644,Iago Angelo Dias,11
645,Matheus de Mello Costa,17
646,Jeferson Marinho dos Santos,9
647,Willian Roberto de Farias,8
648,Fabricio Daniel de Souza,77
649,Rafael Aparecido de Paulo Tavares,10
650,Ezequiel Jacinto de Biasi,2
651,Lucca Borges de Brito,11
652,Fabiano da Silva Souza,6
653,Diego Fabian Torres,8
654,Luiz Henrique Araujo Silva,88
655,Gonzalo Daniel Escobar,31
656,Lucas Ribeiro dos Santos,14
657,Lucas Ribeiro dos Santos -,14
658,Marcelo Rodrigues Souza,79
659,Willian Estefani Machado,4
660,Umberto Lourenco Louzer Filho,TC
661,Guilherme Seefeldt Krolow,35
662,Anderson Ferreira da Silva,6
663,Filipe Claudino Tenório Nóbrega,38
664,Rodrigo Oliveira Lindoso,19
665,Fagner Ironi Daponte,21
666,TGWilliam Jose de Castro -,
667,Hygor Cleber Garcia Silva,7
668,Marcelo Nunes Correa,26
669,Tiago Pagnussat,3
670,Ronaldo Henrique Ferreira da Silva,28
671,Everton Paulo Strieder,2
672,Ronaldo Henrique Ferreira da Silva -,28
673,Mauricio de Carvalho Antonio,5
674,Martin Nicolas Benitez,10
675,Ricardo Cesar Dantas da Silva,45
676,Eder Ferreira Graminho,33
677,Francisco Vitor Silva Costa,29
678,Anselmo Ramon Alves Herculano,9
679,Edilson Jose da Silva Junior,2
680,Lucas Jaques Varone Maia,27
681,Matheus Antunes Ribeiro,2
682,Francisco Edson Moreira da Silva,18
683,Diogo Hereda da Silva,32
684,Joao Pedro Mendes Santos,33
685,Mike dos Santos Nenatarvicius,7
686,Yeferson Agustin Quintana Alonso,3
687,Matheus Felipe Santos Nascimento,42
688,Luciano Castan da Silva,40
689,Aylon Darwin Tavella,11
690,Guilherme Castilho Carvalho,99
691,Cristian Jonatan Ortiz,59
692,Kaique Rodrigues Barbosa Santos,45
693,Matheus Bahia Santos,79
694,Elias Lira Nogueira Junior,2
695,PFAlexandre Lopes,
696,Thiago Galhardo do Nascimento Rocha,33
697,Edson Felipe da Cruz,19
698,Geovane da Silva de Souza,21
699,Luiz Diallisson de Souza Alves,22
700,Luiz Junior de Souza Lopes,TC
701,David Ricardo Loiola da Silva,4
702,Matheus Felipe Santos Nascimento,42
703,Luiz Felipe Oliveira de Paula,14
704,Mateus Ferreira da Silva,4
705,PFThiago Gomes Vegette,
706,PFLucas Vinicius O. do Nascimento -,
707,Gonzalo Daniel Escobar,31
708,Willian Gomes de Siqueira,27
709,Giuliano Victor de Paula,20
710,Alex da Silva,2
711,Marcel Philipe Afonso Genestra Scalese,4
